Unnamed: 0,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description,Year,Cumulative Inflation (to 2023),Gross Adjusted for Inflation (2023)
124,Judgment at Nuremberg,1961,179,8.3,60.0,136.0,81006.0,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",1961,10.076253502371646,1370.370476322544
140,The Wolf of Wall Street,2013,180,8.2,75.0,116.9,1487540.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,1.3417089856700282,156.8457804248263
141,Batman Begins,2005,140,8.2,70.0,206.85,1521333.0,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2005,1.5688209442452672,324.5106123171335
142,Spider-Man: No Way Home,2021,148,8.2,71.0,804.75,818919.0,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,1.1530431360000002,927.9114636960002
143,No Country for Old Men,2007,122,8.2,92.0,74.28,1013709.0,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,1.4976096074127891,111.24244163862198
144,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,197.17,786608.0,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1989,2.4984384605857257,492.6171112736875
145,Shutter Island,2010,138,8.2,63.0,128.01,1380885.0,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",2010,1.4071046464057069,180.12346578639452
146,Jurassic Park,1993,127,8.2,68.0,402.45,1026143.0,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993,2.0931908259244674,842.4046478933019
147,There Will Be Blood,2007,158,8.2,93.0,40.22,612354.0,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007,1.4976096074127891,60.233858410142375
148,The Truman Show,1998,103,8.2,90.0,125.62,1133421.0,An insurance salesman discovers his whole life is actually a reality TV show.,1998,1.8197333797805317,228.5949071680304
149,Taxi Driver,1976,114,8.2,94.0,28.26,876254.0,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1976,5.722546505838373,161.71916425499245
150,1917,2019,119,8.2,78.0,159.23,633431.0,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,1.1984430564368642,190.82808787644188
151,Snatch,2000,104,8.2,55.0,30.33,880917.0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,1.7422336024430576,52.841945162097936
152,Kill Bill: Vol. 1,2003,111,8.2,69.0,70.1,1150722.0,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,1.6194185573390656,113.52124086946849
153,The Thing,1982,109,8.2,57.0,13.78,443632.0,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,3.454334995197474,47.60073623382119
154,Die Hard,1988,132,8.2,72.0,83.01,908004.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,2.6083697528514977,216.52077318420285
155,Casino,1995,178,8.2,73.0,42.44,540865.0,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",1995,1.9711305384608198,83.65478005227719
156,Green Book,2018,130,8.2,69.0,85.08,528465.0,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,2018,1.2236103606220383,104.10476948172301
157,The Sixth Sense,1999,107,8.2,64.0,293.51,1018597.0,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",1999,1.7788205080943615,522.101607330776
158,A Beautiful Mind,2001,135,8.2,72.0,170.74,957506.0,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",2001,1.7014000023857985,290.49703640735123
159,Hauru no ugoku shiro,2004,119,8.2,82.0,4.71,418993.0,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,1.597059721241682,7.522151287048322
160,Finding Nemo,2003,100,8.2,90.0,380.84,1076596.0,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,1.6194185573390656,616.7393633770097
